fix_id,tag.local.identifier,species,animal,date,start_datetime,stop_datetime,num_fixes,length_sec,start_time,stop_time
1453,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:52:40,2023-07-02 09:52:40,1,0,2024-03-22 09:52:40,2024-03-22 09:52:40
1454,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:54:12,2023-07-02 09:54:12,1,0,2024-03-22 09:54:12,2024-03-22 09:54:12
1455,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:55:41,2023-07-02 09:55:41,1,0,2024-03-22 09:55:41,2024-03-22 09:55:41
1456,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:57:09,2023-07-02 09:57:09,1,0,2024-03-22 09:57:09,2024-03-22 09:57:09
1457,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:58:42,2023-07-02 09:58:42,1,0,2024-03-22 09:58:42,2024-03-22 09:58:42
1458,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:00:18,2023-07-02 10:00:18,1,0,2024-03-22 10:00:18,2024-03-22 10:00:18
1459,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:01:46,2023-07-02 10:01:46,1,0,2024-03-22 10:01:46,2024-03-22 10:01:46
1460,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:03:14,2023-07-02 10:03:14,1,0,2024-03-22 10:03:14,2024-03-22 10:03:14
1461,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:04:39,2023-07-02 10:04:39,1,0,2024-03-22 10:04:39,2024-03-22 10:04:39
1462,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:06:09,2023-07-02 10:06:09,1,0,2024-03-22 10:06:09,2024-03-22 10:06:09
1463,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:07:41,2023-07-02 10:07:41,1,0,2024-03-22 10:07:41,2024-03-22 10:07:41
1464,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:09:10,2023-07-02 10:09:10,1,0,2024-03-22 10:09:10,2024-03-22 10:09:10
1465,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:10:40,2023-07-02 10:10:40,1,0,2024-03-22 10:10:40,2024-03-22 10:10:40
1466,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:12:13,2023-07-02 10:12:13,1,0,2024-03-22 10:12:13,2024-03-22 10:12:13
1467,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:13:46,2023-07-02 10:13:46,1,0,2024-03-22 10:13:46,2024-03-22 10:13:46
1468,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:15:27,2023-07-02 10:15:27,1,0,2024-03-22 10:15:27,2024-03-22 10:15:27
1469,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:16:49,2023-07-02 10:16:49,1,0,2024-03-22 10:16:49,2024-03-22 10:16:49
1470,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:18:09,2023-07-02 10:18:09,1,0,2024-03-22 10:18:09,2024-03-22 10:18:09
1471,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:19:45,2023-07-02 10:19:45,1,0,2024-03-22 10:19:45,2024-03-22 10:19:45
1472,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:21:15,2023-07-02 10:21:15,1,0,2024-03-22 10:21:15,2024-03-22 10:21:15
1473,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:22:47,2023-07-02 10:22:47,1,0,2024-03-22 10:22:47,2024-03-22 10:22:47
1474,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:24:14,2023-07-02 10:24:14,1,0,2024-03-22 10:24:14,2024-03-22 10:24:14
1475,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:25:39,2023-07-02 10:25:39,1,0,2024-03-22 10:25:39,2024-03-22 10:25:39
1476,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:27:10,2023-07-02 10:27:10,1,0,2024-03-22 10:27:10,2024-03-22 10:27:10
1477,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:28:40,2023-07-02 10:28:40,1,0,2024-03-22 10:28:40,2024-03-22 10:28:40
1478,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:30:11,2023-07-02 10:30:11,1,0,2024-03-22 10:30:11,2024-03-22 10:30:11
1479,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:31:48,2023-07-02 10:31:48,1,0,2024-03-22 10:31:48,2024-03-22 10:31:48
1480,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:33:10,2023-07-02 10:33:10,1,0,2024-03-22 10:33:10,2024-03-22 10:33:10
1481,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:34:43,2023-07-02 10:34:43,1,0,2024-03-22 10:34:43,2024-03-22 10:34:43
1482,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:36:08,2023-07-02 10:36:08,1,0,2024-03-22 10:36:08,2024-03-22 10:36:08
1483,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:37:40,2023-07-02 10:37:40,1,0,2024-03-22 10:37:40,2024-03-22 10:37:40
1484,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:39:11,2023-07-02 10:39:11,1,0,2024-03-22 10:39:11,2024-03-22 10:39:11
1485,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:40:39,2023-07-02 10:40:39,1,0,2024-03-22 10:40:39,2024-03-22 10:40:39
1486,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:42:08,2023-07-02 10:42:08,1,0,2024-03-22 10:42:08,2024-03-22 10:42:08
1487,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:43:37,2023-07-02 10:43:37,1,0,2024-03-22 10:43:37,2024-03-22 10:43:37
1488,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:45:10,2023-07-02 10:45:10,1,0,2024-03-22 10:45:10,2024-03-22 10:45:10
1489,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:46:40,2023-07-02 10:46:40,1,0,2024-03-22 10:46:40,2024-03-22 10:46:40
1490,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:48:11,2023-07-02 10:48:11,1,0,2024-03-22 10:48:11,2024-03-22 10:48:11
1491,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:49:37,2023-07-02 10:49:37,1,0,2024-03-22 10:49:37,2024-03-22 10:49:37
1492,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:51:08,2023-07-02 10:51:08,1,0,2024-03-22 10:51:08,2024-03-22 10:51:08
1493,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:52:40,2023-07-02 10:52:40,1,0,2024-03-22 10:52:40,2024-03-22 10:52:40
1494,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:54:09,2023-07-02 10:54:09,1,0,2024-03-22 10:54:09,2024-03-22 10:54:09
1495,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:55:37,2023-07-02 10:55:37,1,0,2024-03-22 10:55:37,2024-03-22 10:55:37
1496,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:57:13,2023-07-02 10:57:13,1,0,2024-03-22 10:57:13,2024-03-22 10:57:13
1497,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 10:58:40,2023-07-02 10:58:40,1,0,2024-03-22 10:58:40,2024-03-22 10:58:40
1498,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:00:09,2023-07-02 11:00:09,1,0,2024-03-22 11:00:09,2024-03-22 11:00:09
1499,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:01:53,2023-07-02 11:01:53,1,0,2024-03-22 11:01:53,2024-03-22 11:01:53
1500,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:03:16,2023-07-02 11:03:16,1,0,2024-03-22 11:03:16,2024-03-22 11:03:16
1501,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:04:44,2023-07-02 11:04:44,1,0,2024-03-22 11:04:44,2024-03-22 11:04:44
1502,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:06:15,2023-07-02 11:06:15,1,0,2024-03-22 11:06:15,2024-03-22 11:06:15
1503,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:07:41,2023-07-02 11:07:41,1,0,2024-03-22 11:07:41,2024-03-22 11:07:41
1504,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:09:13,2023-07-02 11:09:13,1,0,2024-03-22 11:09:13,2024-03-22 11:09:13
1505,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:10:41,2023-07-02 11:10:41,1,0,2024-03-22 11:10:41,2024-03-22 11:10:41
1506,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:12:18,2023-07-02 11:12:18,1,0,2024-03-22 11:12:18,2024-03-22 11:12:18
1507,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:13:50,2023-07-02 11:13:50,1,0,2024-03-22 11:13:50,2024-03-22 11:13:50
1508,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:15:14,2023-07-02 11:15:14,1,0,2024-03-22 11:15:14,2024-03-22 11:15:14
1509,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:16:43,2023-07-02 11:16:43,1,0,2024-03-22 11:16:43,2024-03-22 11:16:43
1510,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:18:10,2023-07-02 11:18:10,1,0,2024-03-22 11:18:10,2024-03-22 11:18:10
1511,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:19:39,2023-07-02 11:19:39,1,0,2024-03-22 11:19:39,2024-03-22 11:19:39
1512,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:21:09,2023-07-02 11:21:09,1,0,2024-03-22 11:21:09,2024-03-22 11:21:09
1513,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:22:41,2023-07-02 11:22:41,1,0,2024-03-22 11:22:41,2024-03-22 11:22:41
1514,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:24:10,2023-07-02 11:24:10,1,0,2024-03-22 11:24:10,2024-03-22 11:24:10
1515,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:25:53,2023-07-02 11:25:53,1,0,2024-03-22 11:25:53,2024-03-22 11:25:53
1516,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:27:10,2023-07-02 11:27:10,1,0,2024-03-22 11:27:10,2024-03-22 11:27:10
1517,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:28:48,2023-07-02 11:28:48,1,0,2024-03-22 11:28:48,2024-03-22 11:28:48
1518,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:30:09,2023-07-02 11:30:09,1,0,2024-03-22 11:30:09,2024-03-22 11:30:09
1519,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:31:40,2023-07-02 11:31:40,1,0,2024-03-22 11:31:40,2024-03-22 11:31:40
1520,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:33:09,2023-07-02 11:33:09,1,0,2024-03-22 11:33:09,2024-03-22 11:33:09
1521,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 11:34:36,2023-07-02 11:34:36,1,0,2024-03-22 11:34:36,2024-03-22 11:34:36
