"","individual.local.identifier","tag.local.identifier","study.local.timestamp","date"
"402","TEST",9437,2023-07-02 07:48:09,2023-07-02
"403","TEST",9437,2023-07-02 07:49:40,2023-07-02
"404","TEST",9437,2023-07-02 07:51:09,2023-07-02
"405","TEST",9437,2023-07-02 07:52:45,2023-07-02
"406","TEST",9437,2023-07-02 07:54:07,2023-07-02
"407","TEST",9437,2023-07-02 07:55:40,2023-07-02
"408","TEST",9437,2023-07-02 07:57:10,2023-07-02
"409","TEST",9437,2023-07-02 07:58:41,2023-07-02
"410","TEST",9437,2023-07-02 08:00:10,2023-07-02
"411","TEST",9437,2023-07-02 08:01:41,2023-07-02
"412","TEST",9437,2023-07-02 08:03:12,2023-07-02
"413","TEST",9437,2023-07-02 08:04:41,2023-07-02
"414","TEST",9437,2023-07-02 08:06:12,2023-07-02
"415","TEST",9437,2023-07-02 08:07:45,2023-07-02
"416","TEST",9437,2023-07-02 08:09:11,2023-07-02
"417","TEST",9437,2023-07-02 08:10:40,2023-07-02
"418","TEST",9437,2023-07-02 08:12:06,2023-07-02
"419","TEST",9437,2023-07-02 08:13:39,2023-07-02
"420","TEST",9437,2023-07-02 08:15:12,2023-07-02
"421","TEST",9437,2023-07-02 08:16:41,2023-07-02
"422","TEST",9437,2023-07-02 08:18:11,2023-07-02
"423","TEST",9437,2023-07-02 08:19:42,2023-07-02
"424","TEST",9437,2023-07-02 08:21:11,2023-07-02
"425","TEST",9437,2023-07-02 08:22:41,2023-07-02
"426","TEST",9437,2023-07-02 08:24:10,2023-07-02
"427","TEST",9437,2023-07-02 08:25:41,2023-07-02
"428","TEST",9437,2023-07-02 08:27:10,2023-07-02
"429","TEST",9437,2023-07-02 08:28:43,2023-07-02
"430","TEST",9437,2023-07-02 08:30:12,2023-07-02
"431","TEST",9437,2023-07-02 08:31:44,2023-07-02
"432","TEST",9437,2023-07-02 08:33:12,2023-07-02
"433","TEST",9437,2023-07-02 08:34:44,2023-07-02
"434","TEST",9437,2023-07-02 08:36:12,2023-07-02
"435","TEST",9437,2023-07-02 08:37:41,2023-07-02
"436","TEST",9437,2023-07-02 08:39:11,2023-07-02
"437","TEST",9437,2023-07-02 08:40:46,2023-07-02
"438","TEST",9437,2023-07-02 08:42:18,2023-07-02
"439","TEST",9437,2023-07-02 08:43:44,2023-07-02
"440","TEST",9437,2023-07-02 08:45:21,2023-07-02
"441","TEST",9437,2023-07-02 08:46:41,2023-07-02
"442","TEST",9437,2023-07-02 08:48:12,2023-07-02
"443","TEST",9437,2023-07-02 08:49:40,2023-07-02
"444","TEST",9437,2023-07-02 08:51:15,2023-07-02
"445","TEST",9437,2023-07-02 08:52:39,2023-07-02
"446","TEST",9437,2023-07-02 08:54:09,2023-07-02
"447","TEST",9437,2023-07-02 08:55:38,2023-07-02
"448","TEST",9437,2023-07-02 08:57:09,2023-07-02
"449","TEST",9437,2023-07-02 08:58:40,2023-07-02
"450","TEST",9437,2023-07-02 09:00:10,2023-07-02
"451","TEST",9437,2023-07-02 09:01:39,2023-07-02
"452","TEST",9437,2023-07-02 09:03:09,2023-07-02
"453","TEST",9437,2023-07-02 09:04:41,2023-07-02
"454","TEST",9437,2023-07-02 09:06:10,2023-07-02
"455","TEST",9437,2023-07-02 09:07:41,2023-07-02
"456","TEST",9437,2023-07-02 09:09:11,2023-07-02
"457","TEST",9437,2023-07-02 09:10:43,2023-07-02
"458","TEST",9437,2023-07-02 09:12:13,2023-07-02
"459","TEST",9437,2023-07-02 09:13:42,2023-07-02
"460","TEST",9437,2023-07-02 09:15:10,2023-07-02
